Strain	Accession Number	Originating Lab.	Submitting Lab.
A/Johannesburg/R6441/18/2018	EPI1449711	national_institute_for_communicable_disease	national_institute_for_communicable_diseases
A/Oman/7549/2017	EPI1161131	central_public_health_laboratory,_ministry_of_health	crick_worldwide_influenza_centre
A/Minnesota/72/2019	EPI1686501	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Oklahoma/29/2019	EPI1684197	oklahoma_state_department_of_health	centers_for_disease_control_and_prevention
A/Norway/2685/2015	EPI772622	who_national_influenza_centre	crick_worldwide_influenza_centre
A/Texas/79/2009	EPI366339	baylor_college_of_medicine	centers_for_disease_control_and_prevention
A/California/7/2010	EPI273649	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Cameroon/9766/2017	EPI1193166	centre_pasteur_du_cameroun	crick_worldwide_influenza_centre
A/Guangxi-Fangcheng/SWL189/2010	EPI258099	?	who_chinese_national_influenza_center
A/Ireland/M85000/2009	EPI238314	national_virus_reference_laboratory	national_institute_for_medical_research
A/NewYork/3172/2009	EPI180997	?	other_database_import
A/Chanthaburi/11/2015	EPI636091	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Helsinki/329/2013	EPI472715	?	other_database_import
A/Pennsylvania/10/2009	EPI184347	?	centers_for_disease_control_and_prevention
A/MexicoCity/4/2009	EPI217516	?	other_database_import
A/Pennsylvania/159/2018	EPI1477120	children's_hospital_of_pittsburgh_upmc	centers_for_disease_control_and_prevention
A/StPetersburg/RII65/2016-egg	EPI835765	?	who_national_influenza_centre_russian_federation
A/Hangzhou/A61/2013	EPI477214	hangzhou_center_for_disease_control_and_prevention	hangzhou_center_for_disease_control_and_prevention
A/Minnesota/65/2019	EPI1652275	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Arizona/4/2009-egg	EPI180590	?	centers_for_disease_control_and_prevention
A/Nevada/6/2013-egg	EPI466945	southern_nevada_public_health_lab	centers_for_disease_control_and_prevention
A/Saskatchewan/RV3715/2018	EPI1325453	national_microbiology_laboratory,_health_canada	centers_for_disease_control_and_prevention
A/Colorado/8/2019	EPI1372918	colorado_department_of_health_lab	centers_for_disease_control_and_prevention
A/Florida/15/2010	EPI301673	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/Hawaii/35/2016	EPI762560	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/NorthCarolina/50/2016	EPI828645	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/RhodeIsland/2/2019	EPI1361420	rhode_island_department_of_health	centers_for_disease_control_and_prevention
A/Iowa/72/2019	EPI1688782	iowa_state_hygienic_laboratory	centers_for_disease_control_and_prevention
A/Tanzania/2085/2015	EPI725095	national_influenza_lab	centers_for_disease_control_and_prevention
