Strain	Accession Number	Originating Lab.	Submitting Lab.
A/Pennsylvania/84/2016	EPI827812	upmc_clb_dept_of_microbiology	centers_for_disease_control_and_prevention
A/Shanghai-Songjiang/SWL354/2015	EPI697161	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Mexico/169/2017	EPI980511	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/California/VRDL11/2010	EPI258504	?	other_database_import
A/XiaMen/SWL1272/2014	EPI585839	?	other_database_import
A/Antananarivo/4502/2015	EPI748769	institut_pasteur_de_madagascar	crick_worldwide_influenza_centre
A/Vladivostok/RII-863S/2019	EPI1414070	center_of_hygiene_and_epidemiology_in_primorie_territory	who_national_influenza_centre_russian_federation
A/HauteNormandie/796/2017	EPI941442	?	institut_pasteur
A/NewZealand/963/2017	EPI1099235	institute_of_environmental_science_&_research	centers_for_disease_control_and_prevention
A/Guizhou-Qingzhen/1331/2017	EPI1058874	who_chinese_national_influenza_center	centers_for_disease_control_and_prevention
A/Boston/683/2009	EPI315557	?	other_database_import
A/Nepal/147/2016	EPI844072	national_public_health_laboratory	centers_for_disease_control_and_prevention
A/Darwin/2001/2009	EPI181868	royal_darwin_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Bangladesh/2186/2017	EPI1056490	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_a
A/NewJersey/19/2020	EPI1736347	new_jersey_department_of_health_&_senior_services	centers_for_disease_control_and_prevention
A/ElSalvador/521/2019	EPI1609976	contiguo_a_hospital_rosales	centers_for_disease_control_and_prevention
A/Palestine/1JN2018/2017	EPI1354792	central_public_health_laboratory	crick_worldwide_influenza_centre
A/Netherlands/73/2019	EPI1359748	erasmus_medical_center	erasmus_medical_center
A/Idaho/1/2014	EPI509476	state_of_idaho_bureau_of_laboratories	centers_for_disease_control_and_prevention
A/Moscow/190/2015	EPI696373	d.i._ivanovsky_research_institute_of_virology_moph_of__rf,moscow	who_national_influenza_centre_russian_federation
A/England/61620071/2016	EPI878035	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Victoria/2618/2019	EPI1594284	royal_chidrens_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/California/227/2019	EPI1661639	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Govisumber/3601/2015	EPI730375	national_center_for_communicable_diseases	national_institute_of_infectious_diseases_(niid)
A/Idaho/11/2017	EPI964210	state_of_idaho_bureau_of_laboratories	centers_for_disease_control_and_prevention
A/Helsinki/779/2013	EPI473371	?	other_database_import
A/Dakar/WRAIR0020T/2010	EPI334596	?	other_database_import
A/Tunisia/2940/2016	EPI983101	national_influenza_centre_tunis,_unit_virology,_microbiology_laboratory,_charles_nicolle's_hospital	crick_worldwide_influenza_centre
A/Beijing/HZ01/2011	EPI309147	?	other_database_import
A/Moscow/175/2019	EPI1582871	ivanovsky_research_institute_of_virology_rams	crick_worldwide_influenza_centre
A/Martinique/2084/2015	EPI643345	national_influenza_center_french_guiana_and_french_indies	centers_for_disease_control_and_prevention
A/Kansas/1/2020	EPI1684165	kansas_department_of_health_and_environment	centers_for_disease_control_and_prevention
A/Pakistan/424/2015	EPI706274	national_institute_of_health	centers_for_disease_control_and_prevention
A/Palencia/4/2011	EPI319512	universidad_de_valladolid	national_institute_for_medical_research
A/Victoria/3035/2009	EPI215691	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Bahia/34/2016	EPI1031757	laboratório_central_de_saúde_pública_professor_gonçalo_moniz,_lacen_ba	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(
A/England/249/2009	EPI323448	?	other_database_import
A/Singapore/GP1099/2009	EPI378613	?	other_database_import
A/Oman/7999/2017	EPI1161109	central_public_health_laboratory,_ministry_of_health	crick_worldwide_influenza_centre
A/Guatemala/483/2010	EPI280304	laboratorio_nacional_de_salud_guatemala	centers_for_disease_control_and_prevention
A/England/404/2010	EPI309646	microbiology_services_colindale,_public_health_england	national_institute_for_medical_research
A/Netherlands/10027/2019	EPI1360105	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/Iran/116675/2015-egg	EPI687777	tehran_university_of_medical_sciences	crick_worldwide_influenza_centre
A/Hawaii/7/2019	EPI1382724	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Natal/119715/2012	EPI394746	national_influenza_center	centers_for_disease_control_and_prevention
A/Lithuania/3104/2016	EPI774789	lithuanian_aids_center_laboratory	crick_worldwide_influenza_centre
A/CzechRepublic/181/2020	EPI1736242	national_institute_of_public_health	state_veterinary_institute_prague
A/Tokyo/EH1802/2018	EPI1358150	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Guangdong-Zhenjiang/SWL1593/2018-egg	EPI1340349	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/India/2050/2019	EPI1664181	national_institute_of_virology	centers_for_disease_control_and_prevention
A/Singapore/TT114/2010	EPI385077	?	other_database_import
A/Alabama/1/2010	EPI247161	adph_bureau_of_clinical_laboratories	centers_for_disease_control_and_prevention
A/Shenzhen/71/2009	EPI351001	?	other_database_import
A/Khmelnitsky/354/2013	EPI464636	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	national_institute_for_medical_research
A/Utah/1/2012	EPI353428	utah_public_health_laboratory	centers_for_disease_control_and_prevention
A/Jordan/20043/2017	EPI1188330	laboratory_directorate	crick_worldwide_influenza_centre
A/California/21/2019	EPI1373294	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Shanghai-Huangpu/13439/2016-egg	EPI969968	who_chinese_national_influenza_center	centers_for_disease_control_and_prevention
A/Ukraine/7252/2016	EPI817000	ministry_of_health_of_ukraine	crick_worldwide_influenza_centre
A/Wisconsin/8/2016	EPI706337	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Brazil/8539/2018	EPI1312652	instituto_adolfo_lutz	centers_for_disease_control_and_prevention
A/Egypt/7176/2015	EPI748897	ministry_of_health_and_population	crick_worldwide_influenza_centre
A/Bangalore/3432-40/2012	EPI615213	?	other_database_import
A/Florida/1/2012	EPI353393	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/Georgia/T51700/2012	EPI471497	?	other_database_import
A/Sweden/89/2019	EPI1441157	?	public_health_agency_of_sweden
A/Kyrgyzstan/29/2018	EPI1394040	national_virology_laboratory,_center_microbiological_investigations	crick_worldwide_influenza_centre
A/Netherlands/10145/2018	EPI1188203	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/California/189/2019	EPI1628280	california_department_of_health_services	centers_for_disease_control_and_prevention
A/NewYork/3236/2009	EPI182739	?	other_database_import
A/Fukui/2/2014	EPI522344	fukui_prefectural_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Pennsylvania/137/2018	EPI1477018	children's_hospital_of_pittsburgh_upmc	centers_for_disease_control_and_prevention
A/Philippines/832/2017	EPI1211632	center_for_medical_microbiology	centers_for_disease_control_and_prevention
A/Guangxi/SWL4/2009	EPI256617	?	who_chinese_national_influenza_center
A/Catalonia/NSVH100971388/2019	EPI1360079	hospital_universitari_vall_d'hebron	hospital_universitari_vall_d'hebron
A/SouthDakota/16/2015	EPI611175	south_dakota_public_health_lab	centers_for_disease_control_and_prevention
A/Tianjin-Hexi/SWL11/2010	EPI257435	?	who_chinese_national_influenza_center
A/NorthCarolina/11656/2020	EPI1742387	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Victoria/31/2019	EPI1594152	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/NewYork/6300/2009	EPI246774	?	other_database_import
A/Sichuan-Gaoxin/SWL1980/2018	EPI1339131	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Neath/2314/2018	EPI1331539	public_health_wales_microbiology_cardiff	public_health_wales_microbiology_cardiff
A/Malaysia/RP0573/2019	EPI1550232	institut_penyelidikan_perubatan	who_collaborating_centre_for_reference_and_research_on_influenza
A/Australia/11/2009	EPI244814	?	other_database_import
A/NewJersey/2/2020	EPI1692877	new_jersey_department_of_health_&_senior_services	centers_for_disease_control_and_prevention
A/AthensGR/2316/2010	EPI755763	?	hellenic_pasteur_institute
A/England/80160519/2018	EPI1173986	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Mali/95/2016	EPI828230	nic_lab_cvd_mali	centers_for_disease_control_and_prevention
A/Antalya/1038/2016	EPI829380	refik_saydam_national_public_health_agency	crick_worldwide_influenza_centre
A/Moscow/CRIE-59/2016	EPI824815	?	central_research_institute_for_epidemiology
A/NorthCarolina/6/2011	EPI316394	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/HoChiMinh/96211/2010	EPI535001	?	other_database_import
A/Cambodia/V1003303/2011	EPI743902	?	other_database_import
A/Quebec/RV0217/2018	EPI1149932	?	public_health_agency_of_canada_(phac)
A/NewBrunswick/RV0089/2020	EPI1736622	hôpital_georges_l._dumont	public_health_agency_of_canada_(phac)
A/Iowa/46/2018	EPI1250745	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/Hawaii/13/2010	EPI280282	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Paris/2577/2018	EPI1332267	?	institut_pasteur
A/Brisbane/21/2018	EPI1242912	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Novosibirsk/84/2019	EPI1491040	center_of_hygiene_and_epidemiology_in_novosibirsk_region	who_national_influenza_centre_russian_federation
A/Romania/205/2020	EPI1704086	national_institute_for_infectious_diseases_“prof._dr._matei_balș”	national_institute_of_infectious_diseases_prof._dr._matei_bals
A/Israel/328/2019	EPI1734304	central_virology_laboratory_israel_(nic)	crick_worldwide_influenza_centre
A/Hawaii/51/2015-egg	EPI678961	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Managua/470204/2009	EPI282457	?	other_database_import
A/DistrictofColumbia/INS32/2009	EPI266748	?	other_database_import
A/Singapore/ON141/2009	EPI186379	?	ministry_of_health,_singapore
A/Hokkaido/1/2014	EPI507006	hokkaido_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/SouthAustralia/120/2019	EPI1435943	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Washington/11695/2020	EPI1730589	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Belgium/S0556/2018	EPI1271870	scientific_institute_of_public_health	crick_worldwide_influenza_centre
A/Stockholm/70/2015	EPI709966	swedish_institute_for_infectious_disease_control	swedish_institute_for_infectious_disease_control
A/England/5080831/2010	EPI623165	?	other_database_import
A/Texas/53/2016	EPI757088	baylor_college_of_medicine	centers_for_disease_control_and_prevention
A/Aichi/20/2011	EPI334846	aichi_prefectural_institute_of_public_health	aichi_prefectural_institute_of_public_health
A/Peru/65918/2018	EPI1277784	us_namru_6	centers_for_disease_control_and_prevention
A/Eskilstuna/8/2020	EPI1704465	unilabs_mikrobiologi/laboratoriemedicin,_mälarsjukhuset_	public_health_agency_of_sweden
A/Latvia/1-042924/2019	EPI1437314	state_agency,_infectology_center_of_latvia	crick_worldwide_influenza_centre
A/Netherlands/10131/2019	EPI1377538	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/Gunma/13G001/2014	EPI581419	?	other_database_import
A/Sweden/17/2018	EPI1215733	?	public_health_agency_of_sweden
A/Iwate/7/2020	EPI1740219	research_institute_for_environmental_sciences_and_public_health_of_iwate_prefecture	national_institute_of_infectious_diseases_(niid)
A/Ontario/35273/2009	EPI252540	?	other_database_import
A/Utah/37/2017	EPI1124297	utah_department_of_health	centers_for_disease_control_and_prevention
A/SouthAustralia/1027/2017	EPI1082865	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/MexicoCity/WR1306N/2009	EPI215304	?	other_database_import
A/Wisconsin/629-D01570/2009	EPI248220	?	other_database_import
A/Wisconsin/629-D01793/2009	EPI214596	?	other_database_import
A/Netherlands/390/2019	EPI1377188	erasmus_medical_center	erasmus_medical_center
A/Taiwan/1101/2015	EPI710810	center_for_disease_control	national_institute_of_infectious_diseases_(niid)
A/Victoria/2089/2019	EPI1434775	alfred_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/England/84/2017	EPI1139250	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Aragon/14276/2013	EPI505286	servicio_de_microbiología_hospital_miguel_servet	national_institute_for_medical_research
A/California/155/2019	EPI1496693	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Peru/9918/2018	EPI1267039	us_namru_6	centers_for_disease_control_and_prevention
A/Bahia/489/2016	EPI1031759	laboratório_central_de_saúde_pública_professor_gonçalo_moniz,_lacen_ba	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_
A/Singapore/GP2242/2009	EPI378887	?	other_database_import
A/Tennessee/7/2009	EPI185426	?	centers_for_disease_control_and_prevention
A/Bashkortostan/CRIE/357/2018	EPI1260232	?	central_research_institute_of_epidemiology
A/Netherlands/3078/2015	EPI733829	national_institute_for_public_health_and_the_environment_(rivm)	crick_worldwide_influenza_centre
A/Illinois/10/2019	EPI1382999	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Darwin/21/2018	EPI1335837	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/Bolivia/1055/2018	EPI1310744	cenetrop	centers_for_disease_control_and_prevention
A/Taiwan/6341/2009	EPI349583	?	other_database_import
A/Georgia/11109/2020	EPI1708742	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Singapore/ON313/2009	EPI186384	?	ministry_of_health,_singapore
A/Egypt/4758/2014	EPI587749	u.s._naval_medical_research_unit_no.3	centers_for_disease_control_and_prevention
A/Victoria/163/2019	EPI1594302	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Sweden/18/2015	EPI582185	?	swedish_institute_for_infectious_disease_control
A/Netherlands/54/2016	EPI731609	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/Sapporo/18/2014	EPI507018	sapporo_city_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Pennsylvania/66/2016	EPI771571	pennsylvania_department_of_health	centers_for_disease_control_and_prevention
A/Mie/21/2017	EPI1073957	mie_prefecture_health_and_environment_research_institute	national_institute_of_infectious_diseases_(niid)
A/Denmark/2653/2019	EPI1491991	statens_serum_institute	crick_worldwide_influenza_centre
A/Singapore/GP4275/2009	EPI379296	?	other_database_import
A/Philippines/24/2017	EPI1179587	research_institute_of_tropical_medicine	who_collaborating_centre_for_reference_and_research_on_influenza
A/SanDiego/INS55/2009	EPI246950	?	other_database_import
A/Bulgaria/360/2016	EPI773252	national_centre_of_infectious_and_	crick_worldwide_influenza_centre
A/Arizona/11602/2020	EPI1741987	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/NewYork/WC-LVD-13-021/2013	EPI546217	?	other_database_import
A/Cameroon/9755/2017	EPI1193164	centre_pasteur_du_cameroun	crick_worldwide_influenza_centre
A/Ohio/10515/2019	EPI1699349	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Zhejiang/SWL3/2009	EPI256461	?	who_chinese_national_influenza_center
A/Vietnam/13032040/2009	EPI405501	?	other_database_import
A/Dakar/30/2018	EPI1437194	institut_pasteur_de_dakar__	crick_worldwide_influenza_centre
A/ElSalvador/593/2018	EPI1320270	contiguo_a_hospital_rosales	centers_for_disease_control_and_prevention
A/DominicanRepublic/229/2018	EPI1313850	laboratorio_nacional_de_salud_publica_dr._defillo	centers_for_disease_control_and_prevention
A/Montana/23/2009	EPI243736	montana_public_health_laboratory	centers_for_disease_control_and_prevention
A/Toronto/C2781/2009	EPI214039	?	other_database_import
A/Bulgaria/865/2019	EPI1491967	national_centre_of_infectious_and_	crick_worldwide_influenza_centre
A/Singapore/KK315/2010	EPI385374	?	other_database_import
A/Mexico/2532/2018	EPI1349125	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Ontario/RV0908/2019	EPI1370260	?	public_health_agency_of_canada_(phac)
A/NorthDakota/28/2018	EPI1246219	north_dakota_department_of_health	centers_for_disease_control_and_prevention
A/Bulgaria/276/2016	EPI773224	national_centre_of_infectious_and_	crick_worldwide_influenza_centre
A/Ohio/10846/2020	EPI1706765	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Jiangsu-Danyang/SWL1768/2017-egg	EPI1168637	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/England/91800799/2009	EPI240483	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Managua/6502/2009	EPI249656	laboratorio_de_virologia,_direccion_de_microbiologia	other_database_import
A/Santiago/51086/2019	EPI1505318	instituto_de_salud_publica_de_chile	instituto_de_salud_publica_de_chile
A/Utah/19/2019	EPI1398168	utah_department_of_health	centers_for_disease_control_and_prevention
A/Kastoria/72/2013	EPI445587	aristotelian_university_of_thessaloniki	national_institute_for_medical_research
A/Newfoundland/RV1358/2019	EPI1415193	?	public_health_agency_of_canada_(phac)
A/Ankara/14015-736/2019	EPI1731781	turkish_society_of_internal_medicine	gen_era_diagnostics_corporation
A/Jordan/1888/2017	EPI1188304	laboratory_directorate	crick_worldwide_influenza_centre
A/Wisconsin/512/2019	EPI1562734	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Pakistan/772/2018	EPI1197984	national_institute_of_health	centers_for_disease_control_and_prevention
A/Minnesota/32/2019	EPI1449122	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Singapore/ON2083/2009	EPI263486	?	other_database_import
A/Nevada/6/2016	EPI716137	southern_nevada_public_health_lab	centers_for_disease_control_and_prevention
A/England/216/2009	EPI186440	?	health_protection_agency_(hpa)
A/Singapore/GP677/2011	EPI381190	?	other_database_import
A/Bangladesh/1489/2018	EPI1350594	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_a
A/Texas/408/2019	EPI1661583	houston_department_of_health_and_human_services	centers_for_disease_control_and_prevention
A/Concepcion/57427/2019	EPI1568199	instituto_de_salud_publica_de_chile	instituto_de_salud_publica_de_chile
A/Cameroon/15V-3714/2015	EPI624670	centre_pasteur_du_cameroun	crick_worldwide_influenza_centre
A/Mexico/1988/2017	EPI1047211	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Kenya/7/2009	EPI284147	?	other_database_import
A/Idaho/1/2018	EPI1175433	state_of_idaho_bureau_of_laboratories	centers_for_disease_control_and_prevention
A/Mexico/2324/2019	EPI1606619	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Krasnodar/33/2016	EPI828150	ivanovsky_research_institute_of_virology_rams	centers_for_disease_control_and_prevention
A/Argentina/7937/2009	EPI355935	?	other_database_import
A/Michigan/28/2016	EPI732243	michigan_department_of_community_health	centers_for_disease_control_and_prevention
A/Guangxi/SWL1/2009	EPI253237	?	who_chinese_national_influenza_center
A/Argentina/1267/2019	EPI1587784	instituto_nacional_de_enfermedades_infecciosas	centers_for_disease_control_and_prevention
A/Tunisia/4199/2016	EPI983135	national_influenza_centre_tunis,_unit_virology,_microbiology_laboratory,_charles_nicolle's_hospital	crick_worldwide_influenza_centre
A/Idaho/21/2018	EPI1246473	state_of_idaho_bureau_of_laboratories	centers_for_disease_control_and_prevention
A/Luxembourg/19010295/2019	EPI1390287	laboratoire_national_de_santé_	laboratoire_national_de_sant?
A/Singapore/TT481/2015	EPI722818	ministry_of_health,_singapore	ministry_of_health,_singapore
A/NewYork/2960/2010	EPI254868	?	other_database_import
A/Jiangsu-Nanjinggulou/SWL11827/2009	EPI257415	?	who_chinese_national_influenza_center
A/AddisAbaba/WR2848N/2009	EPI278027	?	other_database_import
A/Ankara/WRAIR1425T/2009	EPI282675	?	other_database_import
A/Norway/1299-1/2013	EPI466587	st._olavs_hospital_hf,_dept._of_medical_microbiology	national_institute_for_medical_research
A/Hawaii/40/2015	EPI626035	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Texas/11671/2020	EPI1730408	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Pennsylvania/890/2019	EPI1559363	children's_hospital_of_pittsburgh_upmc	centers_for_disease_control_and_prevention
A/Kanagawa/AC1923/2019	EPI1656061	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Arizona/39/2015	EPI700582	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Zhejiang-Kecheng/SWL1187/2017	EPI1030155	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Darwin/122/2018	EPI1335796	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/Sapporo/27/2014	EPI507025	sapporo_city_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/EspiritoSanto/532/2016	EPI1031891	lacen/es___laboratório_central_de_saúde_pública_do_espírito_santo	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory
A/Manitoba/RV1968/2009	EPI303124	?	other_database_import
A/Southaustralia/162/2012	EPI417287	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/California/VRDL97/2009	EPI258600	?	other_database_import
A/Jamaica/4338/2018	EPI1282192	university_of_the_west_indies	centers_for_disease_control_and_prevention
A/Kazakhstan/408/2018	EPI1246402	csee	centers_for_disease_control_and_prevention
A/Singapore/478/2009	EPI277044	?	other_database_import
A/Wyoming/8/2018	EPI1195876	wyoming_public_health_laboratory	centers_for_disease_control_and_prevention
A/Moldova/4703/2016	EPI718227	national_centre_for_preventive_medicine	crick_worldwide_influenza_centre
A/Singapore/DMS83/2010	EPI634826	?	other_database_import
A/Utah/16/2017	EPI970032	utah_department_of_health	centers_for_disease_control_and_prevention
A/Jordan/20024/2016	EPI718217	laboratory_directorate	crick_worldwide_influenza_centre
A/Lithuania/MB39704/2019	EPI1727807	lithuanian_aids_center_laboratory	crick_worldwide_influenza_centre
A/Kentucky/36/2017	EPI1146839	kentucky_division_of_laboratory_services	centers_for_disease_control_and_prevention
A/HongKong/H090-693-V2/2009	EPI326611	?	other_database_import
A/Arizona/1/2014	EPI508752	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Wisconsin/57/2016	EPI771547	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Moscow/WRAIR4314N/2011	EPI333302	?	other_database_import
A/Saitama/147/2018	EPI1364280	saitama_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/AbuDhabi/79/2017	EPI1180099	shaikh_khalifa_medical_city	centers_for_disease_control_and_prevention
A/Helsinki/598/2013	EPI473148	?	other_database_import
A/Cameroon/6457/2013	EPI516946	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/California/VRDL38/2009	EPI237128	?	other_database_import
A/Valladolid/238/2017	EPI1223099	universidad_de_valladolid	crick_worldwide_influenza_centre
A/RhodeIsland/20/2009	EPI347012	rhode_island_department_of_health	centers_for_disease_control_and_prevention
A/StPetersburg/RII-2209S/2020	EPI1720256	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	who_national_influenza_centre_russian_federatio
A/HauteNormandie/1864/2016	EPI746231	?	institut_pasteur
A/Bangladesh/125/2018	EPI1314170	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_an
A/England/714/2018	EPI1358293	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Ontario/RV2961/2009	EPI304213	?	other_database_import
A/Lao/3135/2018	EPI1496843	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/Switzerland/656/2017	EPI1223080	hopital_cantonal_universitaire_de_geneves	crick_worldwide_influenza_centre
A/Victoria/2044/2018	EPI1312232	alfred_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Slovenia/716/2016	EPI773929	laboratory_for_virology,_national_institute_of_public_health	crick_worldwide_influenza_centre
A/Tokat/623/2017	EPI1160075	refik_saydam_national_public_health_agency	ministry_of_health_turkey
A/Switzerland/6079/2017	EPI1223087	hopital_cantonal_universitaire_de_geneves	crick_worldwide_influenza_centre
A/Chongqing-Yuzhong/SWL122/2010	EPI257659	?	who_chinese_national_influenza_center
A/Maryland/15/2009	EPI211442	maryland_department_of_health_and_mental_hygiene	centers_for_disease_control_and_prevention
A/ChampagneArdenne/1318/2019	EPI1388754	?	institut_pasteur
A/Ghana/FS-0895/2012	EPI417131	university_of_ghana	national_institute_for_medical_research
A/England/604/2018	EPI1341869	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Nepal/730/2015	EPI610438	national_public_health_laboratory	national_institute_of_infectious_diseases_(niid)
A/Moscow/CRIE-129/2016	EPI825511	?	central_research_institute_for_epidemiology
A/Minnesota/20/2009	EPI240367	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Macedonia/1008/2019	EPI1506917	institute_of_public_health_(macedonia)	crick_worldwide_influenza_centre
A/NewJersey/56/2018	EPI1350811	new_jersey_department_of_health_&_senior_services	centers_for_disease_control_and_prevention
A/Florida/81/2019	EPI1547754	florida_department_of_health_tampa	centers_for_disease_control_and_prevention
A/Managua/748/2011	EPI346506	laboratorio_de_virologia,_direccion_de_microbiologia	centers_for_disease_control_and_prevention
A/Hungary/40/2009	EPI356807	?	other_database_import
A/CzechRepublic/30/2013	EPI488024	?	other_database_import
A/Cameroon/NGHP68/2015	EPI748841	centre_pasteur_du_cameroun	crick_worldwide_influenza_centre
A/Jordan/10253/2015	EPI589544	laboratory_directorate	crick_worldwide_influenza_centre
A/Xinjiang-Aletai/SWL132/2019	EPI1504392	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Lao/F4416/2016	EPI1027156	national_center_for_laboratory_and_epidemiology	national_institute_of_infectious_diseases_(niid)
A/Arkansas/7/2020	EPI1692829	arkansas_department_of_health	centers_for_disease_control_and_prevention
A/Victoria/2131/2009	EPI233084	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Texas/66/2009	EPI251867	centers_for_disease_control_and_prevention	centers_for_disease_control_and_prevention
A/Lao/2186/2018	EPI1433955	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/Florida/19/2016	EPI725546	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/MexicoCity/WR1708T/2009	EPI277971	?	other_database_import
A/Toyama/16/2011	EPI338631	?	other_database_import
A/Uganda/6084/2018	EPI1267172	uganda_virus_research_institute_(uvri),_national_influenza_center	centers_for_disease_control_and_prevention
A/Temuco/46183/2019	EPI1505047	instituto_de_salud_publica_de_chile	instituto_de_salud_publica_de_chile
A/Israel/293/2019	EPI1734294	central_virology_laboratory_israel_(nic)	crick_worldwide_influenza_centre
A/Bangladesh/5256/2015	EPI629088	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_and_prev
A/Bremen/27/2015	EPI694824	robert_koch_institute	crick_worldwide_influenza_centre
